ano,rodada,data,time,elo
2020,1,2020-08-08,Fortaleza,985.0
2020,1,2020-08-08,Athletico Paranaense,1015.0
2020,1,2020-08-08,Coritiba,985.0
2020,1,2020-08-08,Internacional,1015.0
2020,1,2020-08-08,Sport Recife,1015.0
2020,1,2020-08-08,Ceará,985.0
2020,1,2020-08-09,Santos Fc,1000.0
2020,1,2020-08-09,Red Bull Bragantino,1000.0
2020,1,2020-08-09,Flamengo,985.0
2020,1,2020-08-09,Atlético Mineiro,1015.0
2020,1,2020-08-09,Grêmio,1015.0
2020,1,2020-08-09,Fluminense,985.0
2020,1,2020-09-30,Botafogo,985.0
2020,1,2020-09-30,Bahia,1015.0
2020,1,2020-09-30,Corinthians,1000.0
2020,1,2020-09-30,Atlético Goianiense,1000.0
2020,1,2020-12-03,Goiás,985.0
2020,1,2020-12-03,São Paulo,1015.0
2020,1,2021-01-26,Palmeiras,1000.0
2020,1,2021-01-26,Vasco da Gama,1000.0
2020,2,2020-08-12,Red Bull Bragantino,999.35
2020,2,2020-08-12,Botafogo,985.65
2020,2,2020-08-12,Atlético Mineiro,1029.35
2020,2,2020-08-12,Corinthians,985.65
2020,2,2020-08-12,Athletico Paranaense,1028.71
2020,2,2020-08-12,Goiás,971.29
2020,2,2020-08-12,Atlético Goianiense,1014.35
2020,2,2020-08-12,Flamengo,970.65
2020,2,2020-08-12,Bahia,1028.71
2020,2,2020-08-12,Coritiba,971.29
2020,2,2020-08-12,Ceará,986.29
2020,2,2020-08-12,Grêmio,1013.71
2020,2,2020-08-12,Fluminense,985.65
2020,2,2020-08-12,Palmeiras,999.35
2020,2,2020-08-13,São Paulo,1028.71
2020,2,2020-08-13,Fortaleza,971.29
2020,2,2020-08-13,Internacional,1029.35
2020,2,2020-08-13,Santos Fc,985.65
2020,2,2020-08-13,Vasco da Gama,1015.65
2020,2,2020-08-13,Sport Recife,999.35
2020,3,2020-08-15,Grêmio,1012.5
2020,3,2020-08-15,Corinthians,986.86
2020,3,2020-08-15,Coritiba,956.26
