ano,rodada,mandante,visitante,gol_prev_mandante,gol_prev_visitante,previsao
2022,25,Corinthians,Internacional,0,1,Visitante
2022,25,Atlético Goianiense,Atlético Mineiro,0,1,Visitante
2022,25,Cuiabá,São Paulo,0,1,Visitante
2022,25,Santos Fc,Goiás,0,0,Empate
2022,26,Atlético Mineiro,Red Bull Bragantino,1,0,Mandante
2022,26,Internacional,Cuiabá,1,0,Mandante
2022,26,Ceará,Santos Fc,0,0,Empate
2022,26,Fluminense,Fortaleza,1,0,Mandante
2022,26,Palmeiras,Juventude,1,0,Mandante
2022,26,Avaí,Athletico Paranaense,0,1,Visitante
2022,26,Botafogo,America,0,1,Visitante
2022,26,São Paulo,Corinthians,0,1,Visitante
2022,26,Coritiba,Atlético Goianiense,0,0,Empate
2022,26,Goiás,Flamengo,0,1,Visitante
2022,27,Avaí,Atlético Mineiro,0,1,Visitante
2022,27,Botafogo,Coritiba,1,0,Mandante
2022,27,Red Bull Bragantino,Goiás,0,1,Visitante
2022,27,Flamengo,Fluminense,0,0,Empate
2022,27,Ceará,São Paulo,0,0,Empate
2022,27,Juventude,Fortaleza,0,1,Visitante
2022,27,America,Corinthians,0,1,Visitante
2022,27,Palmeiras,Santos Fc,1,0,Mandante
2022,27,Athletico Paranaense,Cuiabá,1,0,Mandante
2022,27,Atlético Goianiense,Internacional,0,1,Visitante
2022,28,São Paulo,Avaí,1,0,Mandante
2022,28,Santos Fc,Athletico Paranaense,0,1,Visitante
2022,28,Corinthians,Atlético Goianiense,1,0,Mandante
2022,28,Fluminense,Juventude,1,0,Mandante
2022,28,Fortaleza,Flamengo,0,1,Visitante
2022,28,Coritiba,Ceará,0,1,Visitante
2022,28,Cuiabá,America,0,1,Visitante
2022,28,Atlético Mineiro,Palmeiras,0,1,Visitante
2022,28,Goiás,Botafogo,1,0,Mandante
2022,28,Internacional,Red Bull Bragantino,1,0,Mandante
2022,29,Atlético Mineiro,Fluminense,0,1,Visitante
2022,29,Internacional,Santos Fc,1,0,Mandante
2022,29,Ceará,America,0,1,Visitante
2022,29,Avaí,Atlético Goianiense,1,0,Mandante
2022,29,Athletico Paranaense,Juventude,1,0,Mandante
2022,29,Flamengo,Red Bull Bragantino,1,0,Mandante
2022,29,Goiás,Fortaleza,0,0,Empate
2022,29,Corinthians,Cuiabá,1,0,Mandante
2022,29,Botafogo,Palmeiras,0,1,Visitante
2022,29,São Paulo,Coritiba,1,0,Mandante
2022,30,Juventude,Corinthians,0,1,Visitante
2022,30,Red Bull Bragantino,Cuiabá,1,0,Mandante
2022,30,Atlético Goianiense,Fluminense,0,1,Visitante
2022,30,Ceará,Goiás,0,1,Visitante
2022,30,Athletico Paranaense,Fortaleza,0,0,Empate
2022,30,Santos Fc,Atlético Mineiro,0,1,Visitante
2022,30,Flamengo,Internacional,0,1,Visitante
2022,30,Palmeiras,Coritiba,1,0,Mandante
2022,30,Avaí,Botafogo,0,1,Visitante
2022,30,America,São Paulo,0,0,Empate
2022,31,Cuiabá,Flamengo,0,1,Visitante
2022,31,Corinthians,Athletico Paranaense,0,0,Empate
2022,31,Internacional,Goiás,1,0,Mandante
2022,31,Fortaleza,Avaí,1,0,Mandante
2022,31,São Paulo,Botafogo,1,0,Mandante
2022,31,Fluminense,America,1,0,Mandante
2022,31,Atlético Mineiro,Ceará,1,0,Mandante
2022,31,Coritiba,Red Bull Bragantino,0,1,Visitante
2022,31,Atlético Goianiense,Palmeiras,0,1,Visitante
2022,31,Santos Fc,Juventude,1,0,Mandante
2022,32,America,Fortaleza,0,0,Empate
2022,32,Flamengo,Atlético Mineiro,1,0,Mandante
2022,32,Ceará,Cuiabá,1,0,Mandante
2022,32,Palmeiras,São Paulo,1,0,Mandante
2022,32,Botafogo,Internacional,0,1,Visitante
2022,32,Juventude,Atlético Goianiense,0,1,Visitante
2022,32,Athletico Paranaense,Coritiba,1,0,Mandante
2022,32,Avaí,Fluminense,0,1,Visitante
2022,32,Red Bull Bragantino,Santos Fc,0,0,Empate
2022,32,Goiás,Corinthians,0,1,Visitante
2022,33,Red Bull Bragantino,Athletico Paranaense,0,1,Visitante
2022,33,America,Flamengo,0,1,Visitante
2022,33,Santos Fc,Corinthians,0,1,Visitante
2022,33,Palmeiras,Avaí,1,0,Mandante
2022,33,Fluminense,Botafogo,1,0,Mandante
2022,33,Juventude,São Paulo,0,1,Visitante
2022,33,Cuiabá,Goiás,0,1,Visitante
2022,33,Coritiba,Internacional,0,1,Visitante
2022,33,Atlético Goianiense,Ceará,0,1,Visitante
2022,33,Fortaleza,Atlético Mineiro,1,0,Mandante
2022,34,Flamengo,Santos Fc,1,0,Mandante
2022,34,Athletico Paranaense,Palmeiras,0,1,Visitante
2022,34,Botafogo,Red Bull Bragantino,1,0,Mandante
2022,34,Internacional,Ceará,1,0,Mandante
2022,34,Goiás,America,0,0,Empate
2022,34,Corinthians,Fluminense,1,0,Mandante
2022,34,Fortaleza,Coritiba,1,0,Mandante
2022,34,São Paulo,Atlético Goianiense,1,0,Mandante
2022,34,Atlético Mineiro,Juventude,1,0,Mandante
2022,34,Cuiabá,Avaí,1,0,Mandante
2022,35,Ceará,Fluminense,0,1,Visitante
2022,35,Botafogo,Cuiabá,1,0,Mandante
2022,35,São Paulo,Atlético Mineiro,1,0,Mandante
2022,35,Athletico Paranaense,Goiás,0,0,Empate
2022,35,America,Internacional,0,1,Visitante
2022,35,Avaí,Red Bull Bragantino,0,1,Visitante
2022,35,Atlético Goianiense,Santos Fc,0,1,Visitante
2022,35,Juventude,Coritiba,0,1,Visitante
2022,35,Palmeiras,Fortaleza,1,0,Mandante
2022,35,Flamengo,Corinthians,1,0,Mandante
2022,36,Santos Fc,Avaí,1,0,Mandante
2022,36,Fluminense,São Paulo,1,0,Mandante
2022,36,Red Bull Bragantino,America,0,1,Visitante
2022,36,Goiás,Juventude,1,0,Mandante
2022,36,Corinthians,Ceará,1,0,Mandante
2022,36,Internacional,Athletico Paranaense,1,0,Mandante
2022,36,Coritiba,Flamengo,0,1,Visitante
2022,36,Fortaleza,Atlético Goianiense,1,0,Mandante
2022,36,Cuiabá,Palmeiras,0,1,Visitante
2022,36,Atlético Mineiro,Botafogo,0,0,Empate
2022,37,São Paulo,Internacional,0,1,Visitante
2022,37,Avaí,Ceará,0,1,Visitante
2022,37,Fluminense,Goiás,1,0,Mandante
2022,37,Coritiba,Corinthians,0,1,Visitante
2022,37,Fortaleza,Red Bull Bragantino,1,0,Mandante
2022,37,Juventude,Flamengo,0,1,Visitante
2022,37,Palmeiras,America,1,0,Mandante
2022,37,Atlético Goianiense,Athletico Paranaense,0,1,Visitante
2022,37,Botafogo,Santos Fc,1,0,Mandante
2022,37,Atlético Mineiro,Cuiabá,1,0,Mandante
2022,38,Flamengo,Avaí,1,0,Mandante
2022,38,Cuiabá,Coritiba,0,0,Empate
2022,38,Internacional,Palmeiras,0,1,Visitante
2022,38,Athletico Paranaense,Botafogo,0,1,Visitante
2022,38,Ceará,Juventude,1,0,Mandante
2022,38,America,Atlético Goianiense,1,0,Mandante
2022,38,Santos Fc,Fortaleza,0,1,Visitante
2022,38,Goiás,São Paulo,0,1,Visitante
2022,38,Red Bull Bragantino,Fluminense,0,1,Visitante
2022,38,Corinthians,Atlético Mineiro,1,0,Mandante
