ano,rodada,mandante,visitante,gol_prev_mandante,gol_prev_visitante,previsao,gol_time_mandante,gol_time_visitante,data,local,pontos_prev_mandante,pontos_prev_visitante,pontos_real_mandante,pontos_real_visitante,erro_mandante,erro_visitante
2020,2,Red Bull Bragantino,Botafogo,0,0,Empate,1,1,2020-08-12,Nabi Abi Chedid - Braganca Paulista - SP,1,1,1,1,0,0
2020,2,Atlético Mineiro,Corinthians,0,0,Empate,3,2,2020-08-12,Mineirão - Belo Horizonte - MG,1,1,3,0,-2,1
2020,2,Athletico Paranaense,Goiás,1,0,Mandante,2,1,2020-08-12,Arena da Baixada - Curitiba - PR,3,0,3,0,0,0
2020,2,Atlético Goianiense,Flamengo,0,0,Empate,3,0,2020-08-12,Olímpico Pedro Ludovico - Goiania - GO,1,1,3,0,-2,1
2020,2,Bahia,Coritiba,1,0,Mandante,1,0,2020-08-12,Pituaçu - Salvador - BA,3,0,3,0,0,0
2020,2,Ceará,Grêmio,0,1,Visitante,1,1,2020-08-12,Arena Castelão - Fortaleza - CE,0,3,1,1,-1,2
2020,2,Fluminense,Palmeiras,0,0,Empate,1,1,2020-08-12,Maracanã - Rio de Janeiro - RJ,1,1,1,1,0,0
2020,2,São Paulo,Fortaleza,1,0,Mandante,1,0,2020-08-13,Morumbi - Sao Paulo - SP,3,0,3,0,0,0
2020,2,Internacional,Santos Fc,0,0,Empate,2,0,2020-08-13,Beira-Rio - Porto Alegre - RS,1,1,3,0,-2,1
2020,2,Vasco da Gama,Sport Recife,0,0,Empate,2,0,2020-08-13,São Januário - Rio de Janeiro - RJ,1,1,3,0,-2,1
2020,3,Grêmio,Corinthians,1,0,Mandante,0,0,2020-08-15 00:00:00,Arena do Grêmio - Porto Alegre - RS,3,0,1,1,2,-1
2020,3,Coritiba,Flamengo,0,0,Empate,0,1,2020-08-15 00:00:00,Couto Pereira - Curitiba - PR,1,1,0,3,1,-2
2020,3,Palmeiras,Goiás,1,0,Mandante,1,1,2020-08-15 00:00:00,Allianz Parque - Sao Paulo - SP,3,0,1,1,2,-1
2020,3,Atlético Mineiro,Ceará,1,0,Mandante,2,0,2020-08-16 00:00:00,Mineirão - Belo Horizonte - MG,3,0,3,0,0,0
2020,3,Bahia,Red Bull Bragantino,1,0,Mandante,2,1,2020-08-16 00:00:00,Pituaçu - Salvador - BA,3,0,3,0,0,0
2020,3,Vasco da Gama,São Paulo,0,0,Empate,2,1,2020-08-16 00:00:00,São Januário - Rio de Janeiro - RJ,1,1,3,0,-2,1
2020,3,Fluminense,Internacional,0,1,Visitante,2,1,2020-08-16 00:00:00,Maracanã - Rio de Janeiro - RJ,0,3,3,0,-3,3
2020,3,Atlético Goianiense,Sport Recife,0,0,Empate,1,1,2020-08-16 00:00:00,Olímpico Pedro Ludovico - Goiania - GO,1,1,1,1,0,0
2020,3,Fortaleza,Botafogo,0,0,Empate,0,0,2020-08-16 00:00:00,Arena Castelão - Fortaleza - CE,1,1,1,1,0,0
2020,3,Santos Fc,Athletico Paranaense,0,1,Visitante,3,1,2020-08-16 00:00:00,Vila Belmiro - Santos - SP,0,3,3,0,-3,3
2020,4,Red Bull Bragantino,Fluminense,0,0,Empate,2,1,2020-08-19 00:00:00,Nabi Abi Chedid - Braganca Paulista - SP,1,1,3,0,-2,1
2020,4,Flamengo,Grêmio,0,1,Visitante,1,1,2020-08-19 00:00:00,Maracanã - Rio de Janeiro - RJ,0,3,1,1,-1,2
2020,4,Athletico Paranaense,Palmeiras,0,0,Empate,0,1,2020-08-19 00:00:00,Arena da Baixada - Curitiba - PR,1,1,0,3,1,-2
2020,4,Internacional,Atlético Goianiense,0,0,Empate,3,0,2020-08-19 00:00:00,Beira-Rio - Porto Alegre - RS,1,1,3,0,-2,1
2020,4,Goiás,Fortaleza,0,0,Empate,1,3,2020-08-19 00:00:00,Hailé Pinheiro - Goiania - GO,1,1,0,3,1,-2
2020,4,Botafogo,Atlético Mineiro,0,1,Visitante,2,1,2020-08-19 00:00:00,Nilton Santos - Rio de Janeiro - RJ,0,3,3,0,-3,3
2020,4,Corinthians,Coritiba,1,0,Mandante,3,1,2020-08-19 00:00:00,Neo Química Arena - Sao Paulo - SP,3,0,3,0,0,0
2020,4,Sport Recife,Santos Fc,0,0,Empate,0,1,2020-08-20 00:00:00,Ilha do Retiro - Recife - PE,1,1,0,3,1,-2
2020,4,Ceará,Vasco da Gama,0,1,Visitante,0,3,2020-08-20 00:00:00,Arena Castelão - Fortaleza - CE,0,3,0,3,0,0
2020,4,São Paulo,Bahia,0,1,Visitante,1,1,2020-08-20 00:00:00,Morumbi - Sao Paulo - SP,0,3,1,1,-1,2
2020,5,Athletico Paranaense,Fluminense,0,0,Empate,0,1,2020-08-22 00:00:00,Arena da Baixada - Curitiba - PR,1,1,0,3,1,-2
2020,5,Internacional,Atlético Mineiro,0,0,Empate,1,0,2020-08-22 00:00:00,Beira-Rio - Porto Alegre - RS,1,1,3,0,-2,1
2020,5,Goiás,Atlético Goianiense,0,1,Visitante,2,0,2020-08-22 00:00:00,Hailé Pinheiro - Goiania - GO,0,3,3,0,-3,3
2020,5,Flamengo,Botafogo,0,0,Empate,1,1,2020-08-23 00:00:00,Maracanã - Rio de Janeiro - RJ,1,1,1,1,0,0
2020,5,Vasco da Gama,Grêmio,1,0,Mandante,0,0,2020-08-23 00:00:00,São Januário - Rio de Janeiro - RJ,3,0,1,1,2,-1
2020,5,Palmeiras,Santos Fc,0,0,Empate,2,1,2020-08-23 00:00:00,Morumbi - Sao Paulo - SP,1,1,3,0,-2,1
2020,5,Red Bull Bragantino,Coritiba,1,0,Mandante,1,2,2020-08-23 00:00:00,Nabi Abi Chedid - Braganca Paulista - SP,3,0,0,3,3,-3
2020,5,Sport Recife,São Paulo,0,1,Visitante,0,1,2020-08-23 00:00:00,Ilha do Retiro - Recife - PE,0,3,0,3,0,0
2020,5,Ceará,Bahia,0,1,Visitante,2,0,2020-08-23 00:00:00,Arena Castelão - Fortaleza - CE,0,3,3,0,-3,3
2020,5,Corinthians,Fortaleza,0,0,Empate,1,1,2020-08-26 00:00:00,Neo Química Arena - Sao Paulo - SP,1,1,1,1,0,0
