ano,rodada,mandante,visitante,gol_prev_mandante,gol_prev_visitante,previsao,gol_time_mandante,gol_time_visitante,data,local,pontos_prev_mandante,pontos_prev_visitante,pontos_real_mandante,pontos_real_visitante,erro_mandante,erro_visitante
2024,2,Bahia,Fluminense,0,0,Empate,2,1,2024-04-16,Arena Fonte Nova - Salvador - BA,1,1,3,0,-2,1
2024,2,Red Bull Bragantino,Vasco da Gama,0,0,Empate,2,1,2024-04-17,Nabi Abi Chedid - Braganca Paulista - SP,1,1,3,0,-2,1
2024,2,Grêmio,Athletico Paranaense,0,1,Visitante,2,0,2024-04-17,Arena do Grêmio - Porto Alegre - RS,0,3,3,0,-3,3
2024,2,Palmeiras,Internacional,0,0,Empate,0,1,2024-04-17,Arena Barueri - Barueri - SP,1,1,0,3,1,-2
2024,2,Juventude,Corinthians,0,0,Empate,2,0,2024-04-17,Alfredo Jaconi - Caxias do Sul - RS,1,1,3,0,-2,1
2024,2,Fortaleza,Cruzeiro,0,0,Empate,1,1,2024-04-17,Arena Castelão - Fortaleza - CE,1,1,1,1,0,0
2024,2,Atlético Mineiro,Criciúma,0,0,Empate,1,1,2024-04-17,ARENA MRV - Belo Horizonte - MG,1,1,1,1,0,0
2024,2,Flamengo,São Paulo,1,0,Mandante,2,1,2024-04-17,Maracanã - Rio de Janeiro - RJ,3,0,3,0,0,0
2024,2,Botafogo,Atlético Goianiense,0,0,Empate,1,0,2024-04-18,Nilton Santos - Rio de Janeiro - RJ,1,1,3,0,-2,1
2024,2,Cuiabá,Vitória,0,0,Empate,0,0,2024-06-05,Arena Pantanal - Cuiaba - MT,1,1,1,1,0,0
2024,3,Fluminense,Vasco da Gama,0,0,Empate,2,1,2024-04-20 00:00:00,Maracanã - Rio de Janeiro - RJ,1,1,3,0,-2,1
2024,3,Grêmio,Cuiabá,0,0,Empate,1,0,2024-04-20 00:00:00,Arena do Grêmio - Porto Alegre - RS,1,1,3,0,-2,1
2024,3,Red Bull Bragantino,Corinthians,1,0,Mandante,1,0,2024-04-20 00:00:00,Nabi Abi Chedid - Braganca Paulista - SP,3,0,3,0,0,0
2024,3,Atlético Mineiro,Cruzeiro,0,0,Empate,3,0,2024-04-20 00:00:00,ARENA MRV - Belo Horizonte - MG,1,1,3,0,-2,1
2024,3,Palmeiras,Flamengo,0,1,Visitante,0,0,2024-04-21 00:00:00,Allianz Parque - Sao Paulo - SP,0,3,1,1,-1,2
2024,3,Athletico Paranaense,Internacional,0,1,Visitante,1,0,2024-04-21 00:00:00,Arena da Baixada - Curitiba - PR,0,3,3,0,-3,3
2024,3,Vitória,Bahia,0,0,Empate,2,2,2024-04-21 00:00:00,Manoel Barradas - Salvador - BA,1,1,1,1,0,0
