ano,rodada,mandante,visitante,gol_prev_mandante,gol_prev_visitante,previsao,gol_time_mandante,gol_time_visitante,data,local,pontos_prev_mandante,pontos_prev_visitante,pontos_real_mandante,pontos_real_visitante,erro_mandante,erro_visitante
2022,2,Goiás,Palmeiras,0,0,Empate,1,1,2022-04-16,Hailé Pinheiro - Goiania - GO,1,1,1,1,0,0
2022,2,Corinthians,Avaí,0,0,Empate,3,0,2022-04-16,Neo Química Arena - Sao Paulo - SP,1,1,3,0,-2,1
2022,2,America,Juventude,0,0,Empate,4,1,2022-04-16,Independência - Belo Horizonte - MG,1,1,3,0,-2,1
2022,2,Cuiabá,Fluminense,0,0,Empate,0,1,2022-04-16,Arena Pantanal - Cuiaba - MT,1,1,0,3,1,-2
2022,2,Santos Fc,Coritiba,0,0,Empate,2,1,2022-04-17,Vila Belmiro - Santos - SP,1,1,3,0,-2,1
2022,2,Flamengo,São Paulo,0,0,Empate,3,1,2022-04-17,Maracanã - Rio de Janeiro - RJ,1,1,3,0,-2,1
2022,2,Red Bull Bragantino,Atlético Goianiense,0,0,Empate,4,0,2022-04-17,Nabi Abi Chedid - Braganca Paulista - SP,1,1,3,0,-2,1
2022,2,Internacional,Fortaleza,0,0,Empate,2,1,2022-04-17,Beira-Rio - Porto Alegre - RS,1,1,3,0,-2,1
2022,2,Athletico Paranaense,Atlético Mineiro,0,1,Visitante,0,1,2022-04-17,Arena da Baixada - Curitiba - PR,0,3,0,3,0,0
2022,2,Ceará,Botafogo,1,0,Mandante,1,3,2022-04-17,Arena Castelão - Fortaleza - CE,3,0,0,3,3,-3
2022,3,Red Bull Bragantino,São Paulo,0,0,Empate,1,1,2022-04-23 00:00:00,Nabi Abi Chedid - Braganca Paulista - SP,1,1,1,1,0,0
2022,3,Athletico Paranaense,Flamengo,0,1,Visitante,1,0,2022-04-23 00:00:00,Arena da Baixada - Curitiba - PR,0,3,3,0,-3,3
2022,3,Palmeiras,Corinthians,0,1,Visitante,3,0,2022-04-23 00:00:00,Arena Barueri - Barueri - SP,0,3,3,0,-3,3
2022,3,Fluminense,Internacional,0,0,Empate,0,1,2022-04-23 00:00:00,Maracanã - Rio de Janeiro - RJ,1,1,0,3,1,-2
2022,3,Atlético Mineiro,Coritiba,1,0,Mandante,2,2,2022-04-23 00:00:00,Independência - Belo Horizonte - MG,3,0,1,1,2,-1
2022,3,Santos Fc,America,0,0,Empate,3,0,2022-04-24 00:00:00,Vila Belmiro - Santos - SP,1,1,3,0,-2,1
2022,3,Juventude,Cuiabá,0,0,Empate,0,1,2022-04-24 00:00:00,Alfredo Jaconi - Caxias do Sul - RS,1,1,0,3,1,-2
2022,3,Atlético Goianiense,Botafogo,0,0,Empate,1,1,2022-04-24 00:00:00,Antônio Accioly - Goiania - GO,1,1,1,1,0,0
2022,3,Avaí,Goiás,0,0,Empate,3,2,2022-04-25 00:00:00,Ressacada - Florianopolis - SC,1,1,3,0,-2,1
2022,3,Fortaleza,Ceará,0,1,Visitante,0,1,2022-06-01 00:00:00,Arena Castelão - Fortaleza - CE,0,3,0,3,0,0
2022,4,Flamengo,Palmeiras,0,0,Empate,0,0,2022-04-20 00:00:00,Maracanã - Rio de Janeiro - RJ,1,1,1,1,0,0
2022,4,America,Athletico Paranaense,0,0,Empate,1,0,2022-04-30 00:00:00,Independência - Belo Horizonte - MG,1,1,3,0,-2,1
