ano,rodada,data,time,elo
2023,1,2023-04-15,Palmeiras,1015.0
2023,1,2023-04-15,Cuiabá,985.0
2023,1,2023-04-15,America,950.5
2023,1,2023-04-15,Fluminense,1049.5
2023,1,2023-04-15,Red Bull Bragantino,1015.0
2023,1,2023-04-15,Bahia,985.0
2023,1,2023-04-15,Botafogo,1015.0
2023,1,2023-04-15,São Paulo,985.0
2023,1,2023-04-15,Athletico Paranaense,1030.0
2023,1,2023-04-15,Goiás,970.0
2023,1,2023-04-15,Fortaleza,1000.0
2023,1,2023-04-15,Internacional,1000.0
2023,1,2023-04-15,Atlético Mineiro,983.5
2023,1,2023-04-15,Vasco da Gama,1016.5
2023,1,2023-04-16,Corinthians,1015.0
2023,1,2023-04-16,Cruzeiro,985.0
2023,1,2023-04-16,Flamengo,1045.0
2023,1,2023-04-16,Coritiba,955.0
2023,1,2023-04-16,Grêmio,1015.0
2023,1,2023-04-16,Santos Fc,985.0
2023,2,2023-04-22,Fluminense,1077.82
2023,2,2023-04-22,Athletico Paranaense,1001.68
2023,2,2023-04-22,São Paulo,1025.55
2023,2,2023-04-22,America,909.95
2023,2,2023-04-22,Cuiabá,986.29
2023,2,2023-04-22,Red Bull Bragantino,1013.71
2023,2,2023-04-22,Cruzeiro,1001.29
2023,2,2023-04-22,Grêmio,998.71
2023,2,2023-04-23,Internacional,1016.93
2023,2,2023-04-23,Flamengo,1028.07
2023,2,2023-04-23,Vasco da Gama,1016.44
2023,2,2023-04-23,Palmeiras,1015.06
2023,2,2023-04-23,Santos Fc,984.94
2023,2,2023-04-23,Atlético Mineiro,983.56
2023,2,2023-04-23,Coritiba,911.88
2023,2,2023-04-23,Fortaleza,1043.12
2023,2,2023-04-23,Goiás,1003.86
2023,2,2023-04-23,Corinthians,981.14
2023,2,2023-04-24,Bahia,969.92
2023,2,2023-04-24,Botafogo,1030.08
2023,3,2023-04-29,Coritiba,916.62
2023,3,2023-04-29,São Paulo,1020.81
2023,3,2023-04-29,Fortaleza,1076.11
2023,3,2023-04-29,Fluminense,1044.83
2023,3,2023-04-29,Santos Fc,996.75
2023,3,2023-04-29,America,898.14
2023,3,2023-04-29,Palmeiras,1028.6
2023,3,2023-04-29,Corinthians,967.6
2023,3,2023-04-29,Red Bull Bragantino,962.44
2023,3,2023-04-29,Cruzeiro,1052.56
2023,3,2023-04-29,Atlético Mineiro,999.35
2023,3,2023-04-29,Athletico Paranaense,985.9
2023,3,2023-04-30,Flamengo,1011.66
2023,3,2023-04-30,Botafogo,1046.48
2023,3,2023-04-30,Internacional,1031.37
2023,3,2023-04-30,Goiás,989.43
2023,3,2023-04-30,Cuiabá,970.38
2023,3,2023-04-30,Grêmio,1014.62
2023,3,2023-05-01,Vasco da Gama,997.74
2023,3,2023-05-01,Bahia,988.62
2023,4,2023-05-06,Cruzeiro,1065.17
2023,4,2023-05-06,Santos Fc,984.14
2023,4,2023-05-06,Fluminense,1042.81
2023,4,2023-05-06,Vasco da Gama,999.76
2023,4,2023-05-07,America,885.02
2023,4,2023-05-07,Cuiabá,983.5
2023,4,2023-05-07,Athletico Paranaense,1002.01
2023,4,2023-05-07,Flamengo,995.55
2023,4,2023-05-07,São Paulo,1051.72
2023,4,2023-05-07,Internacional,1000.46
2023,4,2023-05-07,Bahia,1012.49
2023,4,2023-05-07,Coritiba,892.74
2023,4,2023-05-07,Grêmio,1012.38
2023,4,2023-05-07,Red Bull Bragantino,964.68
2023,4,2023-05-07,Botafogo,1072.44
2023,4,2023-05-07,Atlético Mineiro,973.39
2023,4,2023-05-07,Goiás,916.19
2023,4,2023-05-07,Palmeiras,1101.84
