ano,rodada,data,time,elo
2022,1,2022-04-09,Fluminense,1000.0
2022,1,2022-04-09,Santos Fc,1000.0
2022,1,2022-04-09,Atlético Goianiense,1000.0
2022,1,2022-04-09,Flamengo,1000.0
2022,1,2022-04-09,Palmeiras,983.5
2022,1,2022-04-09,Ceará,1016.5
2022,1,2022-04-10,Coritiba,1045.0
2022,1,2022-04-10,Goiás,955.0
2022,1,2022-04-10,Atlético Mineiro,1030.0
2022,1,2022-04-10,Internacional,970.0
2022,1,2022-04-10,Botafogo,967.0
2022,1,2022-04-10,Corinthians,1033.0
2022,1,2022-04-10,Fortaleza,983.5
2022,1,2022-04-10,Cuiabá,1016.5
2022,1,2022-04-10,Avaí,1015.0
2022,1,2022-04-10,America,985.0
2022,1,2022-04-10,São Paulo,1060.0
2022,1,2022-04-10,Athletico Paranaense,940.0
2022,1,2022-04-11,Juventude,1000.0
2022,1,2022-04-11,Red Bull Bragantino,1000.0
2022,2,2022-04-16,Goiás,956.23
2022,2,2022-04-16,Palmeiras,982.27
2022,2,2022-04-16,Corinthians,1075.67
2022,2,2022-04-16,Avaí,972.33
2022,2,2022-04-16,America,1031.94
2022,2,2022-04-16,Juventude,953.06
2022,2,2022-04-16,Cuiabá,999.22
2022,2,2022-04-16,Fluminense,1017.28
2022,2,2022-04-17,Santos Fc,1016.93
2022,2,2022-04-17,Coritiba,1028.07
2022,2,2022-04-17,Flamengo,1035.13
2022,2,2022-04-17,São Paulo,1024.87
2022,2,2022-04-17,Red Bull Bragantino,1060.0
2022,2,2022-04-17,Atlético Goianiense,940.0
2022,2,2022-04-17,Internacional,985.58
2022,2,2022-04-17,Fortaleza,967.92
2022,2,2022-04-17,Athletico Paranaense,927.68
2022,2,2022-04-17,Atlético Mineiro,1042.32
2022,2,2022-04-17,Ceará,978.83
2022,2,2022-04-17,Botafogo,1004.67
2022,3,2022-04-23,Red Bull Bragantino,1058.49
2022,3,2022-04-23,São Paulo,1026.38
2022,3,2022-04-23,Athletico Paranaense,947.18
2022,3,2022-04-23,Flamengo,1015.63
2022,3,2022-04-23,Palmeiras,1039.09
2022,3,2022-04-23,Corinthians,1018.86
2022,3,2022-04-23,Fluminense,999.28
2022,3,2022-04-23,Internacional,1003.58
2022,3,2022-04-23,Atlético Mineiro,1041.7
2022,3,2022-04-23,Coritiba,1028.68
2022,3,2022-04-24,Santos Fc,1063.87
2022,3,2022-04-24,America,985.0
2022,3,2022-04-24,Juventude,938.74
2022,3,2022-04-24,Cuiabá,1013.54
2022,3,2022-04-24,Atlético Goianiense,942.76
2022,3,2022-04-24,Botafogo,1001.91
2022,3,2022-04-25,Avaí,986.63
2022,3,2022-04-25,Goiás,941.92
2022,3,2022-06-01,Fortaleza,951.94
2022,3,2022-06-01,Ceará,994.81
2022,4,2022-04-20,Flamengo,1016.64
2022,4,2022-04-20,Palmeiras,1038.08
2022,4,2022-04-30,America,998.37
2022,4,2022-04-30,Athletico Paranaense,933.8
2022,4,2022-04-30,Ceará,981.3
2022,4,2022-04-30,Red Bull Bragantino,1072.0
2022,4,2022-04-30,Goiás,946.12
2022,4,2022-04-30,Atlético Mineiro,1037.51
2022,4,2022-04-30,Cuiabá,1010.52
2022,4,2022-04-30,Atlético Goianiense,945.77
2022,4,2022-05-01,Botafogo,999.21
2022,4,2022-05-01,Juventude,941.44
2022,4,2022-05-01,Corinthians,1031.0
2022,4,2022-05-01,Fortaleza,939.79
2022,4,2022-05-01,Coritiba,1042.42
2022,4,2022-05-01,Fluminense,985.55
2022,4,2022-05-01,Internacional,1002.85
2022,4,2022-05-01,Avaí,987.37
2022,4,2022-05-02,São Paulo,1042.99
2022,4,2022-05-02,Santos Fc,1047.26
2022,5,2022-05-07,Atlético Mineiro,1019.16
2022,5,2022-05-07,America,1016.72
2022,5,2022-05-07,Athletico Paranaense,950.84
2022,5,2022-05-07,Ceará,964.26
2022,5,2022-05-08,Flamengo,999.32
2022,5,2022-05-08,Botafogo,1016.54
2022,5,2022-05-08,Atlético Goianiense,929.29
2022,5,2022-05-08,Goiás,962.6
2022,5,2022-05-08,Palmeiras,1035.82
2022,5,2022-05-08,Fluminense,987.8
2022,5,2022-05-08,Santos Fc,1087.52
2022,5,2022-05-08,Cuiabá,970.26
2022,5,2022-05-08,Red Bull Bragantino,1053.56
2022,5,2022-05-08,Corinthians,1049.44
2022,5,2022-05-08,Juventude,944.06
2022,5,2022-05-08,Internacional,1000.23
2022,5,2022-05-08,Fortaleza,944.12
2022,5,2022-05-08,São Paulo,1038.66
2022,5,2022-05-09,Avaí,1004.72
2022,5,2022-05-09,Coritiba,1025.06
2022,6,2022-05-14,Palmeiras,1067.35
