ano,rodada,mandante,visitante,gol_prev_mandante,gol_prev_visitante,previsao
2019,1,São Paulo,Botafogo,2,0,Real
2019,1,Chapecoense,Internacional,2,0,Real
2019,1,Atlético Mineiro,Avaí,2,1,Real
2019,1,Flamengo,Cruzeiro,3,1,Real
2019,1,Grêmio,Santos Fc,1,2,Real
2019,1,Bahia,Corinthians,3,2,Real
2019,1,Athletico Paranaense,Vasco da Gama,4,1,Real
2019,1,Ceará,Csa,4,0,Real
2019,1,Palmeiras,Fortaleza,4,0,Real
2019,1,Fluminense,Goiás,0,1,Real
2019,2,Internacional,Flamengo,0,1,Visitante
2019,2,Csa,Palmeiras,0,1,Visitante
2019,2,Corinthians,Chapecoense,0,1,Visitante
2019,2,Avaí,Grêmio,0,0,Empate
2019,2,Cruzeiro,Ceará,0,1,Visitante
2019,2,Vasco da Gama,Atlético Mineiro,0,1,Visitante
2019,2,Goiás,São Paulo,0,0,Empate
2019,2,Fortaleza,Athletico Paranaense,0,1,Visitante
2019,2,Santos Fc,Fluminense,1,0,Mandante
2019,2,Botafogo,Bahia,0,1,Visitante
2019,3,Vasco da Gama,Corinthians,0,1,Visitante
2019,3,Palmeiras,Internacional,1,0,Mandante
2019,3,Ceará,Atlético Mineiro,0,0,Empate
2019,3,Chapecoense,Athletico Paranaense,0,0,Empate
2019,3,São Paulo,Flamengo,1,0,Mandante
2019,3,Botafogo,Fortaleza,1,0,Mandante
2019,3,Csa,Santos Fc,0,1,Visitante
2019,3,Cruzeiro,Goiás,0,0,Empate
2019,3,Grêmio,Fluminense,0,0,Empate
2019,3,Bahia,Avaí,0,0,Empate
2019,4,Fluminense,Botafogo,0,0,Empate
2019,4,Corinthians,Grêmio,1,0,Mandante
2019,4,Goiás,Ceará,0,1,Visitante
2019,4,Flamengo,Chapecoense,0,0,Empate
2019,4,Internacional,Cruzeiro,0,1,Visitante
2019,4,Santos Fc,Vasco da Gama,1,0,Mandante
2019,4,Atlético Mineiro,Palmeiras,0,1,Visitante
2019,4,Athletico Paranaense,Bahia,0,0,Empate
2019,4,Avaí,Csa,1,0,Mandante
2019,4,Fortaleza,São Paulo,0,1,Visitante
2019,5,Fluminense,Cruzeiro,0,0,Empate
2019,5,Palmeiras,Santos Fc,1,0,Mandante
2019,5,Atlético Mineiro,Flamengo,0,0,Empate
2019,5,São Paulo,Bahia,1,0,Mandante
2019,5,Internacional,Csa,1,0,Mandante
2019,5,Chapecoense,Fortaleza,1,0,Mandante
2019,5,Goiás,Botafogo,0,0,Empate
2019,5,Athletico Paranaense,Corinthians,1,0,Mandante
2019,5,Vasco da Gama,Avaí,0,1,Visitante
2019,5,Ceará,Grêmio,1,0,Mandante
2019,6,Botafogo,Palmeiras,0,1,Visitante
2019,6,Grêmio,Atlético Mineiro,0,1,Visitante
2019,6,Santos Fc,Internacional,0,1,Visitante
2019,6,Flamengo,Athletico Paranaense,0,0,Empate
2019,6,Bahia,Fluminense,0,0,Empate
2019,6,Corinthians,São Paulo,0,0,Empate
2019,6,Fortaleza,Vasco da Gama,1,0,Mandante
2019,6,Cruzeiro,Chapecoense,0,1,Visitante
2019,6,Avaí,Ceará,0,1,Visitante
2019,6,Csa,Goiás,0,1,Visitante
2019,7,Flamengo,Fortaleza,1,0,Mandante
