ano,rodada,mandante,visitante,gol_prev_mandante,gol_prev_visitante,previsao
2018,1,Cruzeiro,Grêmio,0,1,Real
2018,1,Vitória,Flamengo,2,2,Real
2018,1,Santos Fc,Ceará,2,0,Real
2018,1,America,Sport Recife,3,0,Real
2018,1,Vasco da Gama,Atlético Mineiro,2,1,Real
2018,1,Corinthians,Fluminense,2,1,Real
2018,1,Internacional,Bahia,2,0,Real
2018,1,Athletico Paranaense,Chapecoense,5,1,Real
2018,1,Botafogo,Palmeiras,1,1,Real
2018,1,São Paulo,Parana,1,0,Real
2018,2,Bahia,Santos Fc,0,1,Visitante
2018,2,Flamengo,America,0,1,Visitante
2018,2,Parana,Corinthians,0,1,Visitante
2018,2,Fluminense,Cruzeiro,0,0,Empate
2018,2,Palmeiras,Internacional,0,1,Visitante
2018,2,Chapecoense,Vasco da Gama,0,1,Visitante
2018,2,Ceará,São Paulo,0,1,Visitante
2018,2,Atlético Mineiro,Vitória,0,0,Empate
2018,2,Grêmio,Athletico Paranaense,0,1,Visitante
2018,2,Sport Recife,Botafogo,0,1,Visitante
2018,3,Botafogo,Grêmio,0,1,Visitante
2018,3,Bahia,Athletico Paranaense,0,1,Visitante
2018,3,Palmeiras,Chapecoense,1,0,Mandante
2018,3,Fluminense,São Paulo,0,0,Empate
2018,3,Parana,Sport Recife,0,1,Visitante
2018,3,Atlético Mineiro,Corinthians,0,1,Visitante
2018,3,Ceará,Flamengo,0,1,Visitante
2018,3,Internacional,Cruzeiro,1,0,Mandante
2018,3,America,Vitória,1,0,Mandante
2018,3,Santos Fc,Vasco da Gama,0,0,Empate
2018,4,São Paulo,Atlético Mineiro,0,0,Empate
2018,4,Vasco da Gama,America,0,0,Empate
2018,4,Corinthians,Ceará,1,0,Mandante
2018,4,Vitória,Fluminense,0,1,Visitante
2018,4,Flamengo,Internacional,1,0,Mandante
2018,4,Athletico Paranaense,Palmeiras,1,0,Mandante
2018,4,Cruzeiro,Botafogo,0,1,Visitante
2018,4,Grêmio,Santos Fc,0,0,Empate
2018,4,Sport Recife,Bahia,0,0,Empate
2018,4,Chapecoense,Parana,1,0,Mandante
2018,5,Grêmio,Internacional,1,0,Mandante
2018,5,Cruzeiro,Sport Recife,0,0,Empate
2018,5,Vasco da Gama,Vitória,1,0,Mandante
2018,5,Chapecoense,Flamengo,0,1,Visitante
2018,5,Bahia,São Paulo,0,1,Visitante
2018,5,Athletico Paranaense,Atlético Mineiro,0,0,Empate
2018,5,Corinthians,Palmeiras,0,0,Empate
