ano,rodada,data,time,elo
2021,1,2020-08-08,Fortaleza,967.0
2021,1,2020-08-08,Athletico Paranaense,1033.0
2021,1,2020-08-08,Coritiba,983.5
2021,1,2020-08-08,Internacional,1016.5
2021,1,2020-08-08,Sport Recife,1015.0
2021,1,2020-08-08,Ceará,985.0
2021,1,2020-08-09,Santos Fc,1000.0
2021,1,2020-08-09,Red Bull Bragantino,1000.0
2021,1,2020-08-09,Flamengo,983.5
2021,1,2020-08-09,Atlético Mineiro,1016.5
2021,1,2020-08-09,Grêmio,1015.0
2021,1,2020-08-09,Fluminense,985.0
2021,1,2020-09-30,Botafogo,983.5
2021,1,2020-09-30,Bahia,1016.5
2021,1,2020-09-30,Corinthians,1000.0
2021,1,2020-09-30,Atlético Goianiense,1000.0
2021,1,2020-12-03,Goiás,950.5
2021,1,2020-12-03,São Paulo,1049.5
2021,1,2021-01-26,Palmeiras,1000.0
2021,1,2021-01-26,Vasco da Gama,1000.0
2021,2,2020-08-12,Red Bull Bragantino,999.29
2021,2,2020-08-12,Botafogo,984.21
2021,2,2020-08-12,Atlético Mineiro,1030.79
2021,2,2020-08-12,Corinthians,985.71
2021,2,2020-08-12,Athletico Paranaense,1044.5
2021,2,2020-08-12,Goiás,939.0
2021,2,2020-08-12,Atlético Goianiense,1042.86
2021,2,2020-08-12,Flamengo,940.64
2021,2,2020-08-12,Bahia,1030.08
2021,2,2020-08-12,Coritiba,969.92
2021,2,2020-08-12,Ceará,986.29
2021,2,2020-08-12,Grêmio,1013.71
2021,2,2020-08-12,Fluminense,985.65
2021,2,2020-08-12,Palmeiras,999.35
2021,2,2020-08-13,São Paulo,1061.0
2021,2,2020-08-13,Fortaleza,955.5
2021,2,2020-08-13,Internacional,1045.08
2021,2,2020-08-13,Santos Fc,971.42
2021,2,2020-08-13,Vasco da Gama,1031.29
2021,2,2020-08-13,Sport Recife,983.71
2021,3,2020-08-15,Grêmio,1012.5
2021,3,2020-08-15,Corinthians,986.92
2021,3,2020-08-15,Coritiba,952.03
2021,3,2020-08-15,Flamengo,958.52
2021,3,2020-08-15,Palmeiras,996.77
2021,3,2020-08-15,Goiás,941.58
2021,3,2020-08-16,Atlético Mineiro,1056.97
2021,3,2020-08-16,Ceará,960.11
2021,3,2020-08-16,Bahia,1043.75
2021,3,2020-08-16,Red Bull Bragantino,985.61
2021,3,2020-08-16,Vasco da Gama,1047.57
2021,3,2020-08-16,São Paulo,1044.72
2021,3,2020-08-16,Fluminense,1003.19
2021,3,2020-08-16,Internacional,1027.54
2021,3,2020-08-16,Atlético Goianiense,1040.33
2021,3,2020-08-16,Sport Recife,986.24
2021,3,2020-08-16,Fortaleza,956.73
2021,3,2020-08-16,Botafogo,982.97
2021,3,2020-08-16,Santos Fc,1007.64
2021,3,2020-08-16,Athletico Paranaense,1008.28
2021,4,2020-08-19,Red Bull Bragantino,1001.37
2021,4,2020-08-19,Fluminense,987.43
2021,4,2020-08-19,Flamengo,960.83
2021,4,2020-08-19,Grêmio,1010.19
2021,4,2020-08-19,Athletico Paranaense,991.24
2021,4,2020-08-19,Palmeiras,1013.82
2021,4,2020-08-19,Internacional,1074.19
2021,4,2020-08-19,Atlético Goianiense,993.68
2021,4,2020-08-19,Goiás,910.01
2021,4,2020-08-19,Fortaleza,988.29
2021,4,2020-08-19,Botafogo,1001.12
2021,4,2020-08-19,Atlético Mineiro,1038.82
2021,4,2020-08-19,Corinthians,1013.92
2021,4,2020-08-19,Coritiba,925.04
2021,4,2020-08-20,Sport Recife,970.75
2021,4,2020-08-20,Santos Fc,1023.13
2021,4,2020-08-20,Ceará,922.82
2021,4,2020-08-20,Vasco da Gama,1084.87
2021,4,2020-08-20,São Paulo,1044.68
2021,4,2020-08-20,Bahia,1043.8
2021,5,2020-08-22,Athletico Paranaense,974.56
2021,5,2020-08-22,Fluminense,1004.11
2021,5,2020-08-22,Internacional,1087.67
2021,5,2020-08-22,Atlético Mineiro,1025.34
2021,5,2020-08-22,Goiás,947.1
2021,5,2020-08-22,Atlético Goianiense,956.59
2021,5,2020-08-23,Flamengo,962.57
2021,5,2020-08-23,Botafogo,999.39
2021,5,2020-08-23,Vasco da Gama,1081.69
2021,5,2020-08-23,Grêmio,1013.37
