ano,rodada,mandante,visitante,gol_prev_mandante,gol_prev_visitante,previsao,gol_time_mandante,gol_time_visitante,data,local,pontos_prev_mandante,pontos_prev_visitante,pontos_real_mandante,pontos_real_visitante,erro_mandante,erro_visitante
2025,2,Ceará,Grêmio,0,0,Empate,2,0,2025-04-05,Arena Castelão - Fortaleza - CE,1,1,3,0,-2,1
2025,2,Corinthians,Vasco da Gama,0,0,Empate,3,0,2025-04-05,Neo Química Arena - Sao Paulo - SP,1,1,3,0,-2,1
2025,2,Botafogo,Juventude,0,1,Visitante,2,0,2025-04-05,Nilton Santos - Rio de Janeiro - RJ,0,3,3,0,-3,3
2025,2,Fluminense,Red Bull Bragantino,0,1,Visitante,2,1,2025-04-06,Maracanã - Rio de Janeiro - RJ,0,3,3,0,-3,3
2025,2,Atlético Mineiro,São Paulo,0,0,Empate,0,0,2025-04-06,Mineirão - Belo Horizonte - MG,1,1,1,1,0,0
2025,2,Mirassol,Fortaleza Ec Saf,0,1,Visitante,1,1,2025-04-06,José Maria de Campos Maia - Mirassol - SP,0,3,1,1,-1,2
2025,2,Vitória,Flamengo,0,1,Visitante,1,2,2025-04-06,Manoel Barradas - Salvador - BA,0,3,0,3,0,0
2025,2,Sport Recife,Palmeiras,0,0,Empate,1,2,2025-04-06,Ilha do Retiro - Recife - PE,1,1,0,3,1,-2
2025,2,Internacional,Cruzeiro,0,0,Empate,3,0,2025-04-06,Beira-Rio - Porto Alegre - RS,1,1,3,0,-2,1
2025,2,Santos Fc,Bahia,0,0,Empate,2,2,2025-04-06,Vila Belmiro - Santos - SP,1,1,1,1,0,0
2025,3,Juventude,Ceará,0,1,Visitante,2,1,2025-04-12 00:00:00,Alfredo Jaconi - Caxias do Sul - RS,0,3,3,0,-3,3
2025,3,Red Bull Bragantino,Botafogo,0,1,Visitante,1,0,2025-04-12 00:00:00,Nabi Abi Chedid - Braganca Paulista - SP,0,3,3,0,-3,3
