ano,tipo,posicao,time,pontos,vitorias,empates,derrotas,gols_pro,gols_contra,saldo
2024,Real,1,Botafogo,79,23,10,5,59,29,30
2024,Real,2,Palmeiras,73,22,7,9,60,33,27
2024,Real,3,Flamengo,70,20,10,8,61,42,19
2024,Real,4,Fortaleza,68,19,11,8,53,39,14
2024,Real,5,Internacional,65,18,11,9,53,36,17
2024,Real,6,São Paulo,59,17,8,13,53,43,10
2024,Real,7,Corinthians,56,15,11,12,54,45,9
2024,Real,8,Bahia,53,15,8,15,49,49,0
2024,Real,9,Cruzeiro,52,14,10,14,43,41,2
2024,Real,10,Vasco da Gama,50,14,8,16,43,56,-13
2024,Real,11,Vitória,47,13,8,17,45,52,-7
2024,Real,12,Atlético Mineiro,47,11,14,13,47,54,-7
2024,Real,13,Fluminense,46,12,10,16,33,39,-6
2024,Real,14,Grêmio,45,12,9,17,44,50,-6
2024,Real,15,Juventude,45,11,12,15,48,59,-11
2024,Real,16,Red Bull Bragantino,44,10,14,14,44,48,-4
2024,Real,17,Athletico Paranaense,42,11,9,18,40,46,-6
2024,Real,18,Criciúma,38,9,11,18,42,61,-19
2024,Real,19,Atlético Goianiense,30,7,9,22,29,58,-29
2024,Real,20,Cuiabá,30,6,12,20,29,49,-20
