ano,tipo,posicao,time,pontos,vitorias,empates,derrotas,gols_pro,gols_contra,saldo
2022,Real,1,Palmeiras,81,23,12,3,66,27,39
2022,Real,2,Internacional,73,20,13,5,58,31,27
2022,Real,3,Fluminense,70,21,7,10,63,41,22
2022,Real,4,Corinthians,65,18,11,9,44,36,8
2022,Real,5,Flamengo,62,18,8,12,60,39,21
2022,Real,6,Athletico Paranaense,58,16,10,12,48,48,0
2022,Real,7,Atlético Mineiro,58,15,13,10,45,37,8
2022,Real,8,Fortaleza,55,15,10,13,46,39,7
2022,Real,9,São Paulo,54,13,15,10,55,42,13
2022,Real,10,America,53,15,8,15,40,40,0
2022,Real,11,Botafogo,53,15,8,15,41,43,-2
2022,Real,12,Santos Fc,47,12,11,15,44,41,3
2022,Real,13,Goiás,46,11,13,14,40,53,-13
2022,Real,14,Red Bull Bragantino,44,11,11,16,49,59,-10
2022,Real,15,Coritiba,42,12,6,20,39,60,-21
2022,Real,16,Cuiabá,41,10,11,17,31,42,-11
2022,Real,17,Ceará,37,7,16,15,34,41,-7
2022,Real,18,Atlético Goianiense,36,8,12,18,39,57,-18
2022,Real,19,Avaí,35,9,8,21,34,60,-26
2022,Real,20,Juventude,22,3,13,22,29,69,-40
