ano,tipo,posicao,time,pontos,vitorias,empates,derrotas,gols_pro,gols_contra,saldo
2019,Real,1,Flamengo,90,28,6,4,86,37,49
2019,Real,2,Santos Fc,74,22,8,8,60,33,27
2019,Real,3,Palmeiras,74,21,11,6,61,32,29
2019,Real,4,Grêmio,65,19,8,11,64,39,25
2019,Real,5,Athletico Paranaense,64,18,10,10,51,32,19
2019,Real,6,São Paulo,63,17,12,9,39,30,9
2019,Real,7,Internacional,57,16,9,13,44,39,5
2019,Real,8,Corinthians,56,14,14,10,42,34,8
2019,Real,9,Fortaleza,53,15,8,15,50,49,1
2019,Real,10,Goiás,52,15,7,16,46,64,-18
2019,Real,11,Bahia,49,12,13,13,44,43,1
2019,Real,12,Vasco da Gama,49,12,13,13,39,45,-6
2019,Real,13,Atlético Mineiro,48,13,9,16,45,49,-4
2019,Real,14,Fluminense,46,12,10,16,38,46,-8
2019,Real,15,Botafogo,43,13,4,21,31,45,-14
2019,Real,16,Ceará,39,10,9,19,36,41,-5
2019,Real,17,Cruzeiro,36,7,15,16,27,46,-19
2019,Real,18,Csa,32,8,8,22,24,58,-34
2019,Real,19,Chapecoense,32,7,11,20,31,52,-21
2019,Real,20,Avaí,20,3,11,24,18,62,-44
