ano,tipo,posicao,time,pontos,vitorias,empates,derrotas,gols_pro,gols_contra,saldo
2022,Previsão,1,Palmeiras,104,34,2,2,36,4,32
2022,Previsão,2,Flamengo,85,26,7,5,27,6,21
2022,Previsão,3,Internacional,82,26,4,8,26,9,17
2022,Previsão,4,Fluminense,82,25,7,6,25,6,19
2022,Previsão,5,Atlético Mineiro,77,24,5,9,25,9,16
2022,Previsão,6,Corinthians,76,22,10,6,24,7,17
2022,Previsão,7,Santos Fc,74,22,8,8,22,8,14
2022,Previsão,8,São Paulo,67,20,7,11,23,11,12
2022,Previsão,9,Red Bull Bragantino,56,16,8,14,18,16,2
2022,Previsão,10,Athletico Paranaense,54,17,3,18,17,21,-4
2022,Previsão,11,Botafogo,47,14,5,19,15,21,-6
2022,Previsão,12,Ceará,46,13,7,18,15,20,-5
2022,Previsão,13,Goiás,40,12,4,22,12,24,-12
2022,Previsão,14,America,40,11,7,20,11,20,-9
2022,Previsão,15,Fortaleza,40,11,7,20,11,20,-9
2022,Previsão,16,Coritiba,29,8,5,25,10,25,-15
2022,Previsão,17,Avaí,29,7,8,23,7,23,-16
2022,Previsão,18,Cuiabá,28,8,4,26,8,26,-18
2022,Previsão,19,Atlético Goianiense,21,5,6,27,6,28,-22
2022,Previsão,20,Juventude,5,1,2,35,3,37,-34
