ano,tipo,posicao,time,pontos,vitorias,empates,derrotas,gols_pro,gols_contra,saldo
2023,Previsão,1,Palmeiras,108,35,3,0,36,1,35
2023,Previsão,2,Botafogo,101,32,5,1,33,2,31
2023,Previsão,3,Flamengo,87,27,6,5,29,5,24
2023,Previsão,4,Red Bull Bragantino,83,27,2,9,28,10,18
2023,Previsão,5,Atlético Mineiro,80,25,5,8,26,9,17
2023,Previsão,6,Grêmio,70,21,7,10,21,10,11
2023,Previsão,7,Athletico Paranaense,69,20,9,9,21,9,12
2023,Previsão,8,Fluminense,62,18,8,12,20,12,8
2023,Previsão,9,Fortaleza,61,18,7,13,19,14,5
2023,Previsão,10,São Paulo,60,19,3,16,20,17,3
2023,Previsão,11,Cruzeiro,54,16,6,16,17,17,0
2023,Previsão,12,Cuiabá,53,16,5,17,17,18,-1
2023,Previsão,13,Corinthians,47,14,5,19,15,20,-5
2023,Previsão,14,Bahia,42,13,3,22,14,23,-9
2023,Previsão,15,Internacional,33,9,6,23,10,24,-14
2023,Previsão,16,Santos Fc,29,9,2,27,9,27,-18
2023,Previsão,17,Vasco da Gama,27,8,3,27,9,28,-19
2023,Previsão,18,Goiás,21,5,6,27,5,28,-23
2023,Previsão,19,America,6,2,0,36,2,38,-36
2023,Previsão,20,Coritiba,1,0,1,37,0,39,-39
