ano,tipo,posicao,time,pontos,vitorias,empates,derrotas,gols_pro,gols_contra,saldo
2021,Real,1,Flamengo,71,21,8,9,68,48,20
2021,Real,2,Internacional,70,20,10,8,61,35,26
2021,Real,3,Atlético Mineiro,68,20,8,10,64,45,19
2021,Real,4,São Paulo,66,18,12,8,59,41,18
2021,Real,5,Fluminense,64,18,10,10,55,42,13
2021,Real,6,Grêmio,59,14,17,7,53,40,13
2021,Real,7,Palmeiras,58,15,13,10,51,37,14
2021,Real,8,Santos Fc,54,14,12,12,52,51,1
2021,Real,9,Athletico Paranaense,53,15,8,15,38,36,2
2021,Real,10,Red Bull Bragantino,53,13,14,11,50,40,10
2021,Real,11,Ceará,52,14,10,14,54,51,3
2021,Real,12,Corinthians,51,13,12,13,45,45,0
2021,Real,13,Atlético Goianiense,50,12,14,12,40,45,-5
2021,Real,14,Bahia,44,12,8,18,48,59,-11
2021,Real,15,Sport Recife,42,12,6,20,31,50,-19
2021,Real,16,Fortaleza,41,10,11,17,34,44,-10
2021,Real,17,Vasco da Gama,41,10,11,17,37,56,-19
2021,Real,18,Goiás,37,9,10,19,41,63,-22
2021,Real,19,Coritiba,31,7,10,21,31,54,-23
2021,Real,20,Botafogo,27,5,12,21,32,62,-30
