ano,tipo,posicao,time,pontos,vitorias,empates,derrotas,gols_pro,gols_contra,saldo
2018,Real,1,Palmeiras,80,23,11,4,64,26,38
2018,Real,2,Flamengo,72,21,9,8,59,29,30
2018,Real,3,Internacional,69,19,12,7,51,29,22
2018,Real,4,Grêmio,66,18,12,8,48,27,21
2018,Real,5,São Paulo,63,16,15,7,46,34,12
2018,Real,6,Atlético Mineiro,59,17,8,13,56,43,13
2018,Real,7,Athletico Paranaense,57,16,9,13,54,37,17
2018,Real,8,Cruzeiro,53,14,11,13,34,34,0
2018,Real,9,Botafogo,51,13,12,13,38,46,-8
2018,Real,10,Santos Fc,50,13,11,14,46,40,6
2018,Real,11,Bahia,48,12,12,14,39,41,-2
2018,Real,12,Fluminense,45,12,9,17,32,46,-14
2018,Real,13,Corinthians,44,11,11,16,34,35,-1
2018,Real,14,Chapecoense,44,11,11,16,34,50,-16
2018,Real,15,Ceará,44,10,14,14,32,38,-6
2018,Real,16,Vasco da Gama,43,10,13,15,41,48,-7
2018,Real,17,Sport Recife,42,11,9,18,35,57,-22
2018,Real,18,America,40,10,10,18,30,47,-17
2018,Real,19,Vitória,37,9,10,19,36,63,-27
2018,Real,20,Parana,23,4,11,23,18,57,-39
