ano,tipo,posicao,time,pontos,vitorias,empates,derrotas,gols_pro,gols_contra,saldo
2018,Previsão,1,Internacional,103,34,1,3,35,3,32
2018,Previsão,2,Flamengo,100,33,1,4,35,6,29
2018,Previsão,3,Palmeiras,92,30,2,6,31,7,24
2018,Previsão,4,Grêmio,90,29,3,6,29,6,23
2018,Previsão,5,São Paulo,89,29,2,7,29,7,22
2018,Previsão,6,Atlético Mineiro,79,25,4,9,26,10,16
2018,Previsão,7,Corinthians,68,21,5,12,22,13,9
2018,Previsão,8,Athletico Paranaense,67,21,4,13,25,14,11
2018,Previsão,9,Santos Fc,59,18,5,15,19,15,4
2018,Previsão,10,Cruzeiro,53,15,8,15,15,15,0
2018,Previsão,11,Bahia,49,15,4,19,15,20,-5
2018,Previsão,12,Botafogo,42,12,6,20,13,21,-8
2018,Previsão,13,America,38,11,5,22,13,22,-9
2018,Previsão,14,Vasco da Gama,36,10,6,22,11,23,-12
2018,Previsão,15,Fluminense,35,8,11,19,9,20,-11
2018,Previsão,16,Ceará,29,8,5,25,8,26,-18
2018,Previsão,17,Sport Recife,25,7,4,27,7,29,-22
2018,Previsão,18,Chapecoense,20,4,8,26,5,30,-25
2018,Previsão,19,Vitória,15,3,6,29,5,31,-26
2018,Previsão,20,Parana,5,1,2,35,1,35,-34
