ano,tipo,posicao,time,pontos,vitorias,empates,derrotas,gols_pro,gols_contra,saldo
2019,Previsão,1,Palmeiras,106,35,1,2,38,2,36
2019,Previsão,2,Flamengo,105,34,3,1,36,2,34
2019,Previsão,3,Santos Fc,84,27,3,8,28,9,19
2019,Previsão,4,Corinthians,83,26,5,7,28,9,19
2019,Previsão,5,Athletico Paranaense,78,24,6,8,27,9,18
2019,Previsão,6,São Paulo,76,23,7,8,24,8,16
2019,Previsão,7,Bahia,67,19,10,9,21,11,10
2019,Previsão,8,Grêmio,66,20,6,12,21,13,8
2019,Previsão,9,Internacional,66,20,6,12,20,13,7
2019,Previsão,10,Ceará,59,18,5,15,21,15,6
2019,Previsão,11,Atlético Mineiro,53,15,8,15,16,16,0
2019,Previsão,12,Fortaleza,43,13,4,21,13,24,-11
2019,Previsão,13,Botafogo,41,12,5,21,12,22,-10
2019,Previsão,14,Vasco da Gama,38,11,5,22,12,25,-13
2019,Previsão,15,Fluminense,33,9,6,23,9,23,-14
2019,Previsão,16,Goiás,32,9,5,24,9,24,-15
2019,Previsão,17,Chapecoense,25,7,4,27,8,27,-19
2019,Previsão,18,Cruzeiro,23,6,5,27,7,29,-22
2019,Previsão,19,Avaí,11,2,5,31,3,32,-29
2019,Previsão,20,Csa,1,0,1,37,0,40,-40
